COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,PERSONS_LAST_DOSE,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE
French Polynesia,PYF,WPRO,REPORTING,01-05-2023,480028,190908,186803,18-01-2021,2,102317
Gabon,GAB,AFRO,REPORTING,05-02-2023,572672,311244,257471,23-03-2021,3,2592
Gambia,GMB,AFRO,REPORTING,19-03-2023,1444492,674314,539186,10-03-2021,2,53741
Georgia,GEO,EURO,REPORTING,16-04-2023,2738178,1300473,1186709,17-03-2021,4,250996
Germany,DEU,EURO,REPORTING,11-06-2023,193234743,64867580,63564568,23-12-2020,9,52142370
Ghana,GHA,AFRO,REPORTING,26-03-2023,22384226,13221421,10170298,02-03-2021,2,4062970
Gibraltar,GIB,EURO,OWID,16-12-2022,132810,42175,41465,,2,49170
Greece,GRC,EURO,REPORTING,11-06-2023,21983798,7916555,7744795,23-12-2020,7,5902253
Greenland,GRL,EURO,OWID,14-03-2022,79738,41227,38511,,1,
Grenada,GRD,AMRO,REPORTING,02-06-2023,90686,44241,39034,15-02-2021,5,7411
Guadeloupe,GLP,AMRO,REPORTING,02-06-2023,400129,152113,146098,08-01-2021,7,89009
Guam,GUM,WPRO,REPORTING,31-01-2023,352698,135612,128788,04-01-2021,3,83603
Guatemala,GTM,AMRO,REPORTING,02-06-2023,20370595,8935137,7127944,25-02-2021,5,3719543
Guernsey,GGY,EURO,OWID,19-12-2022,178525,54223,52710,,3,69339
Guinea,GIN,AFRO,REPORTING,02-04-2023,10645240,7679918,4725982,05-03-2021,6,302545
Guinea-Bissau,GNB,AFRO,REPORTING,04-06-2023,825234,733271,533741,02-04-2021,2,48801
Guyana,GUY,AMRO,REPORTING,02-06-2023,960133,495285,381984,11-02-2021,7,77874
Haiti,HTI,AMRO,REPORTING,02-06-2023,664150,521396,350403,,2,
Honduras,HND,AMRO,REPORTING,02-06-2023,16901540,6485671,5751048,22-02-2021,6,4665196
Hungary,HUN,EURO,REPORTING,11-06-2023,16570212,6358579,6151942,23-12-2020,8,3868612
Iceland,ISL,EURO,REPORTING,16-04-2023,869976,307269,297921,30-12-2020,5,254556
India,IND,SEARO,REPORTING,19-06-2023,2206734611,1025823086,952120286,16-01-2021,8,228791239
Indonesia,IDN,SEARO,REPORTING,06-06-2023,447595845,203845350,174893201,13-01-2021,7,68857294
Iran (Islamic Republic of),IRN,EMRO,REPORTING,18-06-2023,155425580,65189900,58575561,09-02-2021,12,28572930
Iraq,IRQ,EMRO,REPORTING,02-01-2023,19557364,11332925,7944775,02-03-2021,10,275280
Ireland,IRL,EURO,REPORTING,11-06-2023,12386942,4108479,4062803,30-12-2020,5,3057548
Isle of Man,IMN,EURO,OWID,23-06-2022,189994,69560,67106,,3,53328
Israel,ISR,EURO,REPORTING,05-06-2022,17915305,7055466,6385731,16-12-2020,3,4474108
Italy,ITA,EURO,REPORTING,11-06-2023,150317622,50581051,49484229,23-12-2020,9,44916242
Jamaica,JAM,AMRO,REPORTING,02-06-2023,1525895,858035,758800,10-03-2021,6,45995
Japan,JPN,WPRO,REPORTING,06-06-2023,392346325,104715237,103392920,17-02-2021,4,86527378
Jersey,JEY,EURO,OWID,29-01-2023,266953,84365,81882,,3,73662
Jordan,JOR,EMRO,REPORTING,21-08-2022,10057975,4821579,4558313,13-01-2021,10,682211
Kazakhstan,KAZ,EURO,REPORTING,30-04-2023,38355605,12443364,13070774,07-04-2021,5,6801526
Kenya,KEN,AFRO,REPORTING,02-04-2023,23750431,14494372,11090440,05-03-2021,5,2000636
Kiribati,KIR,WPRO,REPORTING,06-02-2023,219980,100900,81474,26-05-2021,2,37606
Kosovo,XKX,EURO,REPORTING,15-01-2023,1836901,904558,824752,31-03-2021,2,105624
Kuwait,KWT,EMRO,REPORTING,18-06-2023,8260540,3457150,3345866,28-12-2020,10,1457524
Kyrgyzstan,KGZ,EURO,REPORTING,14-05-2023,3132083,1516221,1332740,31-03-2021,6,283122
Lao People's Democratic Republic,LAO,WPRO,REPORTING,21-05-2023,13879410,6324678,5691962,25-11-2020,8,2451034
Latvia,LVA,EURO,REPORTING,11-06-2023,2979616,1344368,1304768,30-12-2020,9,550859
Lebanon,LBN,EMRO,REPORTING,22-12-2022,5814699,2740227,2414223,14-02-2021,10,660249
Lesotho,LSO,AFRO,REPORTING,19-03-2023,1339097,1014073,938088,10-03-2021,3,177816
Liberia,LBR,AFRO,REPORTING,11-12-2022,4460668,3903802,3730967,01-04-2021,1,1987
Libya,LBY,EMRO,REPORTING,16-01-2023,3739158,2316327,1236102,11-04-2021,10,186729
Liechtenstein,LIE,OTHER,REPORTING,10-04-2022,71104,26681,26346,06-01-2021,3,18310
Lithuania,LTU,EURO,REPORTING,11-06-2023,4532385,1956467,1907044,23-12-2020,5,902046
Luxembourg,LUX,EURO,REPORTING,11-06-2023,1337797,469270,462702,30-12-2020,8,368484
Madagascar,MDG,AFRO,REPORTING,18-06-2023,3021300,2643237,2563217,10-05-2021,3,160752
